"source_state","target_state","metric","status","error"
"MD","MD","mechanism_higher_order_proxy_gap_overall__loan_to_value_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__loan_to_value_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__loan_to_value_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__loan_to_value_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__loan_to_value_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__loan_to_value_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__property_value__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__property_value__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__property_value__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__property_value__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__property_value__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__property_value__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__property_value__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__property_value__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__property_value__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__property_value__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__property_value__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__property_value__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__property_value__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__property_value__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__property_value__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__property_value__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__property_value__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__property_value__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__property_value__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__property_value__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__property_value__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__property_value__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__property_value__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__property_value__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__property_value__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__property_value__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__property_value__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__property_value__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__property_value__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__property_value__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__property_value__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__property_value__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__property_value__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__property_value__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__property_value__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__property_value__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__income__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__income__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__income__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__income__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__income__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__income__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__income__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__income__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__income__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__income__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__income__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__income__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__income__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__income__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__income__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__income__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__income__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__income__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__income__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__income__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__income__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__income__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__income__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__income__by__debt_to_income_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__income__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__income__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__income__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__income__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__income__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__income__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__income__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__income__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__income__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__income__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__income__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__income__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__debt_to_income_ratio__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__debt_to_income_ratio__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__debt_to_income_ratio__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__debt_to_income_ratio__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__debt_to_income_ratio__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__debt_to_income_ratio__by__loan_amount","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__debt_to_income_ratio__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__debt_to_income_ratio__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__debt_to_income_ratio__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__debt_to_income_ratio__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__debt_to_income_ratio__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__debt_to_income_ratio__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__debt_to_income_ratio__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__debt_to_income_ratio__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__debt_to_income_ratio__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__debt_to_income_ratio__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__debt_to_income_ratio__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__debt_to_income_ratio__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__debt_to_income_ratio__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__debt_to_income_ratio__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__debt_to_income_ratio__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__debt_to_income_ratio__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__debt_to_income_ratio__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__debt_to_income_ratio__by__income","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__debt_to_income_ratio__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__debt_to_income_ratio__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__debt_to_income_ratio__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__debt_to_income_ratio__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__debt_to_income_ratio__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__debt_to_income_ratio__by__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__debt_to_income_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__debt_to_income_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__debt_to_income_ratio__by__tract_to_msa_income_percentage","skipped","No finite values"
